NEST,CODE,LONG,LAT,ALT,FECHA,PP
1.0,ID47E0D438,-80.39788,-4.48047,116.0,2017-03-21T18:00:00,0.0
3.0,ID472606FA,-79.71077,-4.63776,2633.0,2017-03-21T18:00:00,0.0
4.0,ID47E01126,-80.39898000000002,-3.97972,143.0,2017-03-21T18:00:00,0.0
5.0,ID472F00A6,-80.40182,-3.97594,228.0,2017-03-21T18:00:00,0.0
6.0,ID472EF2D8,-80.42964,-3.5511699999999995,12.0,2017-03-21T18:00:00,0.0
7.0,ID472F86B2,-79.60535,-5.4005800000000015,1270.0,2017-03-21T18:00:00,0.0
8.0,ID472F13D0,-80.65058,-3.93911,144.0,2017-03-21T18:00:00,0.0
9.0,ID472FB328,-79.83,-5.03389,1791.0,2017-03-21T18:00:00,0.1
10.0,ID47E0E1A2,-80.11716,-4.71357,340.0,2017-03-21T18:00:00,0.0
11.0,ID472F6540,-80.16954,-5.10844,89.0,2017-03-21T18:00:00,0.0
13.0,ID4724B080,-80.16707,-4.2990900000000005,243.0,2017-03-21T18:00:00,0.0
14.0,ID47E9177A,-80.16704,-4.29905,243.0,2017-03-21T18:00:00,0.0
15.0,ID4724A3F6,-80.45689,-3.7687,44.0,2017-03-21T18:00:00,0.0
16.0,ID472F50DA,-79.98416,-5.53579,206.0,2017-03-21T18:00:00,0.0
17.0,ID47E074C0,-79.69924,-5.28985,324.0,2017-03-21T18:00:00,0.0
18.0,ID47E281B0,-79.61317,-4.7476699999999985,1970.0,2017-03-21T18:00:00,0.0
19.0,ID472FE354,-79.45399,-5.24681,1954.0,2017-03-21T18:00:00,0.5
21.0,ID472F43AC,-80.505,-3.99945,602.0,2017-03-21T18:00:00,1.1
23.0,ID472FD6CE,-80.54717,-4.64288,133.0,2017-03-21T18:00:00,0.0
24.0,ID47E0C74E,-79.96412,-4.3933800000000005,385.0,2017-03-21T18:00:00,0.0
25.0,ID472FA05E,-79.85794,-5.33977,153.0,2017-03-21T18:00:00,2.6
26.0,ID472F353C,-80.19833,-3.68278,70.0,2017-03-21T18:00:00,0.0
27.0,ID472F7636,-79.97107,-5.19465,128.0,2017-03-21T18:00:00,1.9
28.0,ID472FC5B8,-79.94584,-4.63439,609.0,2017-03-21T18:00:00,0.0
29.0,ID47E0415A,-80.17296,-5.1128,91.0,2017-03-21T18:00:00,0.0
30.0,ID4724C610,-80.17145,-5.11137,89.0,2017-03-21T18:00:00,0.0
31.0,ID47E0B1DE,-81.02038,-4.87999,12.0,2017-03-21T18:00:00,0.0
32.0,ID47E024BC,-80.4609,-3.5709,10.0,2017-03-21T18:00:00,0.0
33.0,ID472F264A,-80.4575,-3.81333,113.0,2017-03-21T18:00:00,0.0
34.0,ID472F95C4,-79.83794,-5.34588,169.0,2017-03-21T18:00:00,0.0
35.0,ID47E067B6,-79.83761,-5.346019999999998,156.0,2017-03-21T18:00:00,7.6
36.0,ID47E08444,-80.0162,-5.07954,240.0,2017-03-21T18:00:00,0.0
37.0,ID472FF022,-79.99972,-4.79639,1406.0,2017-03-21T18:00:00,0.7
38.0,ID47E0522C,-80.34703,-4.93848,60.0,2017-03-21T18:00:00,0.0
39.0,ID47E3055E,-78.86721,-6.574889999999999,1645.0,2017-03-21T18:00:00,0.0
40.0,ID4724D566,-79.11667,-6.35,2200.0,2017-03-21T18:00:00,0.0
41.0,ID47E1C5B4,-79.07395,-6.65579,964.0,2017-03-21T18:00:00,0.0
42.0,ID472B607A,-78.69208,-5.75461,427.0,2017-03-21T18:00:00,0.0
43.0,ID472B3006,-78.66413,-5.94135,449.0,2017-03-21T18:00:00,0.0
46.0,ID47E35522,-79.22389,-6.47906,1701.0,2017-03-21T18:00:00,0.0
47.0,ID472B2370,-78.18666999999998,-5.88667,675.0,2017-03-21T18:00:00,0.0
49.0,ID220907,-78.27598,-5.81968,500.0,2017-03-21T18:00:00,0.0
50.0,ID4726F67E,-79.81911,-5.83714,120.0,2017-03-21T18:00:00,0.1
51.0,ID47E1E358,-78.91261999999998,-6.5827100000000005,1532.0,2017-03-21T18:00:00,0.0
52.0,ID472B55E0,-78.4894,-5.45096,381.0,2017-03-21T18:00:00,0.0
53.0,ID47E1D6C2,-79.27136,-6.61515,334.0,2017-03-21T18:00:00,0.0
54.0,ID47E2F720,-79.42792,-6.654889999999999,181.0,2017-03-21T18:00:00,0.0
55.0,ID47E207A4,-78.81392,-6.744560000000001,2488.0,2017-03-21T18:00:00,0.5
56.0,ID47E1F02E,-78.78432,-6.54049,2027.0,2017-03-21T18:00:00,0.0
57.0,ID472501F4,-78.03025,-6.84461,871.0,2017-03-21T18:00:00,0.0
58.0,ID472680EE,-78.52363000000003,-6.67996,2565.0,2017-03-21T18:00:00,0.2
59.0,ID4726D092,-78.54119,-6.66975,2866.0,2017-03-21T18:00:00,
60.0,ID4729F0EC,-78.05111,-7.62167,2480.0,2017-03-21T18:00:00,0.2
61.0,ID472D8346,-78.47729,-7.7675,1501.0,2017-03-21T18:00:00,0.0
62.0,ID472EB1D2,-78.31184,-7.85642,2904.0,2017-03-21T18:00:00,3.8
63.0,ID472D30C8,-79.18869000000002,-7.750310000000002,145.0,2017-03-21T18:00:00,0.0
66.0,ID4726631C,-78.14487,-6.85303,2602.0,2017-03-21T18:00:00,0.0
68.0,ID4726C3E4,-78.67588,-6.55405,2255.0,2017-03-21T18:00:00,0.0
69.0,ID4727F484,-78.73333000000002,-6.66667,2744.0,2017-03-21T18:00:00,0.0
70.0,ID472D4658,-78.54106,-7.428560000000001,2423.0,2017-03-21T18:00:00,0.0
71.0,ID472A32FC,-78.11317,-7.46335,1996.0,2017-03-21T18:00:00,1.0
72.0,ID4726A602,-78.81339,-6.3791400000000005,2616.0,2017-03-21T18:00:00,0.0
73.0,ID47E0A2A8,-78.70694,-7.57417,700.0,2017-03-21T18:00:00,
75.0,ID472A571A,-78.69759,-5.45077,409.0,2017-03-21T18:00:00,0.0
76.0,ID47269398,-78.77418,-5.67667,618.0,2017-03-21T18:00:00,0.0
79.0,ID472CC2B6,-78.66725,-7.7635,2925.0,2017-03-21T18:00:00,0.0
80.0,ID4727319A,-78.3079,-8.00419,4047.0,2017-03-21T18:00:00,0.3
82.0,ID472E74CC,-78.38011999999998,-7.796360000000001,1812.0,2017-03-21T18:00:00,6.8
83.0,ID472E5220,-78.81051,-7.5491899999999985,647.0,2017-03-21T18:00:00,0.4
84.0,ID472210B6,-78.52073,-7.09094,2906.0,2017-03-21T18:00:00,0.0
86.0,ID4726706A,-78.99989000000002,-5.14422,1258.0,2017-03-21T18:00:00,0.0
88.0,ID472645F0,-78.49306999999997,-7.16747,2673.0,2017-03-21T18:00:00,0.0
89.0,ID472D60B4,-78.41497,-7.8186,3123.0,2017-03-21T18:00:00,6.1
90.0,ID4726E508,-79.09909,-7.25592,454.0,2017-03-21T18:00:00,0.0
91.0,ID472BF518,-76.15944,-11.71053,4480.0,2017-03-21T18:00:00,0.0
92.0,ID472BC082,-76.46667,-11.16528,4620.0,2017-03-21T18:00:00,0.5
93.0,ID47E9C112,-76.3625,-11.40778,4484.0,2017-03-21T18:00:00,0.0
94.0,ID47E244AE,-76.76952,-11.38887,2641.0,2017-03-21T18:00:00,0.0
95.0,ID47E323B2,-76.77937,-11.19005,2646.0,2017-03-21T18:00:00,0.0
96.0,ID472364DC,-75.87215,-12.3444,3820.0,2017-03-21T18:00:00,0.0
97.0,ID472D73C2,-76.23333000000002,-11.63806,4233.0,2017-03-21T18:00:00,0.0
98.0,ID4725A10C,-77.17529,-9.58598,3140.0,2017-03-21T18:00:00,0.0
99.0,ID47278214,-76.68973000000003,-11.92985,867.0,2017-03-21T18:00:00,0.0
100.0,ID472BD3F4,-76.4705,-11.36111,4493.0,2017-03-21T18:00:00,0.0
101.0,ID47E2323E,-76.7881,-11.20158,2310.0,2017-03-21T18:00:00,0.0
102.0,ID472A218A,-77.15139,-11.77606,47.0,2017-03-21T18:00:00,0.0
103.0,ID4725F170,-76.56667,-11.4,3585.0,2017-03-21T18:00:00,0.0
104.0,ID472CE45A,-76.37791999999997,-11.83913,2417.0,2017-03-21T18:00:00,0.0
106.0,ID47E8C3E8,-76.33118,-11.40867,4482.6,2017-03-21T18:00:00,0.0
